Alimentador,LLL,LLT,LL,LT,Enlace a maps
COV01,,,,1136,"https://maps.google.com/?q=-25.5146316548,-56.4889962432"
COV01,,,,2672,"https://maps.google.com/?q=-25.505585931,-56.4535448996"
COV01,,,,2406,"https://maps.google.com/?q=-25.5070653988,-56.4497674072"
COV01,,,,2346,"https://maps.google.com/?q=-25.5080158475,-56.4500158733"
COV01,,,,2273,"https://maps.google.com/?q=-25.5083773186,-56.4487114843"
COV01,,,,2173,"https://maps.google.com/?q=-25.5032572344,-56.4483385605"
COV01,3865,3789,3348,3025,"https://maps.google.com/?q=-25.4981683726,-56.4568815322"
COV01,4369,4256,3784,3472,"https://maps.google.com/?q=-25.4959228392,-56.4542475859"
COV01,4284,4179,3710,3400,"https://maps.google.com/?q=-25.4957454687,-56.4547869054"
COV01,4180,4086,3620,3315,"https://maps.google.com/?q=-25.4961542423,-56.4554319221"
COV01,4201,4105,3638,3332,"https://maps.google.com/?q=-25.4955763137,-56.4553845189"
COV01,4557,4435,3947,3663,"https://maps.google.com/?q=-25.4946792475,-56.4524669229"
COV01,4751,4614,4115,3849,"https://maps.google.com/?q=-25.4935581818,-56.4536000386"
COV01,4577,4459,3964,3696,"https://maps.google.com/?q=-25.4925462458,-56.4533849699"
COV01,4521,4408,3916,3647,"https://maps.google.com/?q=-25.4949092789,-56.4538640404"
COV01,5029,4875,4355,4137,"https://maps.google.com/?q=-25.4915664473,-56.4530604718"
COV01,5079,4924,4398,4195,"https://maps.google.com/?q=-25.4913036077,-56.4528525496"
COV01,5923,5741,5130,5211,"https://maps.google.com/?q=-25.4854940513,-56.4517218815"
COV01,4893,4802,4238,4162,"https://maps.google.com/?q=-25.4813403441,-56.4561174681"
COV01,,,,5866,"https://maps.google.com/?q=-25.4810576059,-56.4516476021"
COV01,,,,5733,"https://maps.google.com/?q=-25.4808869312,-56.4520460057"
COV01,,,,5216,"https://maps.google.com/?q=-25.4801508201,-56.4537328947"
COV01,6710,6596,5811,6453,"https://maps.google.com/?q=-25.4774755425,-56.4522524566"
